,Window,History,SVD rank,latent_recon_mse,latent_fwd_mse,MSE,MAE,IIEE
29,1,10,8,0.01450452422116678,0.02225102131349596,0.057581453370783416,0.0929548127691524,6450201.388888889
30,1,10,9,0.013701320004839907,0.022559518368620617,0.061409138929624144,0.0962905716262702,6642545.138888889
31,1,10,10,0.00958330694988576,0.01154875490659071,0.018906436056728402,0.038559514675359924,2425965.277777778
32,5,2,3,0.007489672738137896,0.011301279336743044,0.01264345621092631,0.030878588012711726,1898500.0
33,5,2,4,0.0073767706815680055,0.012314942699031571,0.011207943567438925,0.02950043219247082,1904611.111111111
34,5,2,5,0.00698743847814877,0.01599993535971886,0.027579560759180072,0.04862741135262178,3099149.3055555555
35,5,2,6,0.005420500855312211,0.0330926424884057,0.036358513883726996,0.05758861546580479,3763746.527777778
36,5,2,7,0.004032922374944196,0.028577506517980498,0.013408229993461045,0.032037959673632856,1967503.4722222222
37,5,2,8,0.0031937101442316967,0.09047190584575393,0.031367065453930476,0.0551126714058727,3990451.388888889
38,5,2,9,0.0030333831190943097,0.17745226921933094,0.06217026812492387,0.07974060729329735,5655277.777777778
39,5,2,10,0.0028181938891473873,0.08610516972047226,0.020659152002695393,0.04213103417477793,3120260.4166666665
40,5,5,3,0.0089285664870574,0.009896556027290317,0.013520525315166454,0.03097030307454794,1923371.5277777778
41,5,5,4,0.008888604321583287,0.010037775493985834,0.011702292208918679,0.02888401036567951,1840673.611111111
42,5,5,5,0.006961700376146277,0.008699670680203393,0.011640788039900162,0.027495959143897134,1844496.5277777778
43,5,5,6,0.008795793621753142,0.012451684450877326,0.0206715078873915,0.04034413201699133,2457847.222222222
44,5,5,7,0.00885643688177784,0.01597882638662647,0.029782055702457698,0.051197941233121616,3400062.5
45,5,5,8,0.008664367589558512,0.012271845143675552,0.023164350803808353,0.04347676283653812,2681194.4444444445
46,5,5,9,0.007614679326272168,0.009853768395713485,0.01379118109389109,0.03168783934213318,1956128.4722222222
47,5,5,10,0.006835454406535232,0.01641893585293414,0.030576487499898084,0.05299499324780593,3601368.0555555555
48,5,7,3,0.009484966019658002,0.010107331534047515,0.012196608334398338,0.02982454050082203,1872798.611111111
49,5,7,4,0.017661302064320965,0.028215212827948078,0.05421823629479917,0.09071946625074448,6635000.0
50,5,7,5,0.009244642469055896,0.009815692336853126,0.01065525465734447,0.02754384587715518,1738263.888888889
51,5,7,6,0.014908215758594447,0.02840944238524014,0.07787823058314727,0.11434453158684622,7845135.416666667
52,5,7,7,0.010764783236243664,0.018963334603934255,0.04610998585707144,0.07301532558453593,5127593.75
53,5,7,8,0.009960334192468171,0.015800613514682746,0.03576598409230872,0.061079213787872885,4188034.722222222
54,5,7,9,0.008898404446469036,0.011116644648450927,0.013470205577578803,0.03257880873515514,2101750.0
55,5,7,10,0.009682747890328655,0.022292281766566134,0.03701514300322371,0.0655355122711178,4416590.277777778
56,5,10,3,0.009955939699655643,0.009671365024238151,0.010440674629034228,0.027410708030719377,1777576.388888889
