,Window,History,SVD rank,MSE,IIEE,MAE
80,5,2,6,0.010319835011198488,2301805.5725097656,0.03580616851100607
81,5,2,7,0.011477434232234584,2114680.4809570312,0.036529972649385574
82,5,2,8,0.021976426579575898,4445118.103027344,0.05739743678662387
83,5,2,9,0.012144365378615782,2997809.1430664062,0.04116239859651689
84,5,2,10,0.027894724290566938,5108503.41796875,0.07283956802595609
85,5,2,11,0.05259310210366585,4678312.3779296875,0.0786515202147408
86,5,2,12,0.02702971276115728,7743420.41015625,0.0748891236830857
87,5,2,13,0.020224920411894665,6377739.8681640625,0.05980539257389026
88,5,2,14,0.03090044760956235,3612736.2060546875,0.057878756002770454
89,5,2,15,0.015186958590140461,3785982.666015625,0.04557746136737069
90,5,2,16,0.10146889450199469,9226235.961914062,0.14466809918455512
91,5,2,17,0.0466497768477271,8815659.790039062,0.09614749186384969
92,5,2,18,0.19316373909672763,9208826.293945312,0.19039933199672177
93,5,2,19,0.03672276018228494,3885215.1489257812,0.06447856755703778
94,5,2,20,0.024208922453996657,6907631.8359375,0.0676608297052162
95,5,5,2,0.052119075344074686,10113597.412109375,0.10702681119483291
96,5,5,3,0.04246593389605536,9733721.923828125,0.10007280285098279
97,5,5,4,0.013151197357759967,3333951.416015625,0.043393971845387944
98,5,5,5,0.010383348778995445,1997763.8244628906,0.033540942077243105
99,5,5,6,0.022245552604431316,6142705.078125,0.05911749653779104
100,5,5,7,0.049525090934518054,8612597.045898438,0.09916911553301336
101,5,5,8,0.04386110501505537,9730676.879882812,0.09688125621851318
102,5,5,9,0.014119796237931767,3837944.3359375,0.04497503885513136
103,5,5,10,0.024002654584366123,5982031.25,0.05974481017018012
104,5,5,11,0.020874203313877203,6011048.583984375,0.05803415163969186
105,5,5,12,0.011756967927248143,1774555.5114746094,0.03588890150300616
106,5,5,13,0.04040161266148601,6194649.0478515625,0.0808819853774414
107,5,5,14,0.07908132131883691,10364732.666015625,0.1325287419809113
108,5,5,15,0.01584109309904579,4485881.9580078125,0.04698617368907577
109,5,5,16,0.016535264298595503,6230881.9580078125,0.0535483456475541
110,5,5,17,0.02653362419807228,6754670.41015625,0.07015105086300627
111,5,5,18,0.093204325005743,10784145.5078125,0.14148191119932432
112,5,5,19,0.02125234263401945,2954173.583984375,0.05448004772805784
113,5,5,20,0.1125649912320413,10138850.708007812,0.15434666828349447
114,5,7,2,0.0433320922223795,9692159.423828125,0.09945154062701421
